goal_0_weight,goal_0_uom_numeric_min,goal_0_uom_numeric_max,goal_0_uom_timeline,goal_0_uom_zero,goal_0_q1_score,goal_0_q2_score,goal_1_weight,goal_1_uom_numeric_min,goal_1_uom_numeric_max,goal_1_uom_timeline,goal_1_uom_zero,goal_1_q1_score,goal_1_q2_score,goal_2_weight,goal_2_uom_numeric_min,goal_2_uom_numeric_max,goal_2_uom_timeline,goal_2_uom_zero,goal_2_q1_score,goal_2_q2_score,goal_3_weight,goal_3_uom_numeric_min,goal_3_uom_numeric_max,goal_3_uom_timeline,goal_3_uom_zero,goal_3_q1_score,goal_3_q2_score,goal_4_weight,goal_4_uom_numeric_min,goal_4_uom_numeric_max,goal_4_uom_timeline,goal_4_uom_zero,goal_4_q1_score,goal_4_q2_score,goal_5_weight,goal_5_uom_numeric_min,goal_5_uom_numeric_max,goal_5_uom_timeline,goal_5_uom_zero,goal_5_q1_score,goal_5_q2_score,goal_6_weight,goal_6_uom_numeric_min,goal_6_uom_numeric_max,goal_6_uom_timeline,goal_6_uom_zero,goal_6_q1_score,goal_6_q2_score,n_goals,q1_weighted_score,q2_weighted_score,q1_q2_trend,avg_q1q2,final_score,goal_7_weight,goal_7_uom_numeric_min,goal_7_uom_numeric_max,goal_7_uom_timeline,goal_7_uom_zero,goal_7_q1_score,goal_7_q2_score
9.0,0,0,0,1,0.0,100.0,21.7,0,1,0,0,59.09274815131652,60.620647073556675,11.7,0.0,0.0,1.0,0.0,100.0,100.0,9.5,0.0,1.0,0.0,0.0,33.56161815788388,31.139266516472112,8.8,0.0,0.0,1.0,0.0,100.0,100.0,21.7,0.0,0.0,1.0,0.0,100.0,100.0,17.6,1.0,0.0,0.0,0.0,41.738721165790494,48.009259804922486,7,65.55749499901378,75.76254045969301,10.20504546067923,70.6600177293534,75.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0,1,0,0,27.136764760599842,28.186362272696492,17.7,0,1,0,0,68.99963441328667,78.16278403238812,37.4,1.0,0.0,0.0,0.0,38.081535091563026,35.02955069001427,28.9,0.0,0.0,1.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,59.69731177709229,60.34568269542947,0.6483709183371786,60.02149723626088,61.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.6,0,0,0,1,100.0,100.0,28.8,0,0,0,1,100.0,100.0,35.6,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,64.4,100.0,35.599999999999994,82.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.5,0,0,1,0,100.0,100.0,6.8,0,0,1,0,100.0,100.0,20.8,0.0,0.0,0.0,1.0,100.0,100.0,20.0,0.0,1.0,0.0,0.0,71.46067194428284,84.61549784733272,17.1,0.0,0.0,0.0,1.0,100.0,100.0,11.8,0.0,1.0,0.0,0.0,76.27940757934937,72.43020280319222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,91.49310448321978,93.66986350024322,2.1767590170234428,92.5814839917315,93.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.1,0,0,1,0,100.0,100.0,12.3,0,1,0,0,59.548866258391776,54.645739453506394,19.8,1.0,0.0,0.0,0.0,14.960014492205742,14.53217887679686,24.1,0.0,1.0,0.0,0.0,60.63467961166796,70.62211616727626,12.1,0.0,1.0,0.0,0.0,66.52478984366505,63.67240472042079,14.6,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,64.64905077673438,66.02308833787156,1.3740375611371718,65.33606955730298,66.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.9,0,0,0,1,100.0,100.0,17.7,0,0,0,1,0.0,100.0,7.1,1.0,0.0,0.0,0.0,69.40870140900138,65.93086273317319,19.2,0.0,1.0,0.0,0.0,73.17100058573841,69.46789939911618,20.5,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,77.80965554784112,83.5484356716104,9.6,0.0,0.0,1.0,0.0,100.0,100.0,7,52.701622356328166,69.90280279241442,17.201180436086254,61.302212574371296,90.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,1,0,0,0,50.857060250385736,53.74751184384788,15.0,0,1,0,0,31.992870395690332,31.34291455851032,16.2,0.0,0.0,1.0,0.0,82.0,86.0,9.2,0.0,1.0,0.0,0.0,19.271959925652713,19.362589217427907,7.3,0.0,1.0,0.0,0.0,21.04227826500624,24.20121843977836,19.7,1.0,0.0,0.0,0.0,48.822159774277445,57.58704646524855,9.3,0.0,1.0,0.0,0.0,72.27988949039964,81.15043930355233,8,56.90402544503128,60.48791434165129,3.58388889662001,58.695969893341285,61.16,14.9,0.0,0.0,1.0,0.0,100.0,100.0
6.6,0,0,0,1,100.0,100.0,16.6,0,1,0,0,68.42165139202118,73.53636620008368,19.9,0.0,1.0,0.0,0.0,35.52560607290792,41.91760059355017,6.5,1.0,0.0,0.0,0.0,24.705357683782786,24.084238353477527,11.4,0.0,0.0,0.0,1.0,100.0,100.0,8.0,0.0,1.0,0.0,0.0,66.75402039582778,77.73004094723761,22.5,0.0,0.0,1.0,0.0,100.0,100.0,8,66.95417103630771,69.95745001173441,3.0032789754266958,68.45581052402106,70.05,8.5,1.0,0.0,0.0,0.0,12.71072253660505,13.234493360576389
14.9,0,0,0,1,100.0,100.0,25.1,0,0,1,0,100.0,100.0,26.2,0.0,1.0,0.0,0.0,78.8485401018161,71.86864333954203,12.1,0.0,0.0,1.0,0.0,100.0,100.0,21.7,1.0,0.0,0.0,0.0,10.118389475304063,11.916149531730277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,74.9540080228168,73.51538900334549,-1.4386190194713038,74.23469851308114,74.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.9,1,0,0,0,31.022558774788493,30.79874338076221,15.0,0,0,0,1,0.0,100.0,7.4,0.0,0.0,1.0,0.0,86.0,76.0,10.7,0.0,0.0,0.0,1.0,100.0,100.0,18.0,1.0,0.0,0.0,0.0,56.46976854134992,61.31364599087791,17.6,0.0,1.0,0.0,0.0,25.724846619810183,24.689138050870458,13.4,0.0,1.0,0.0,0.0,52.78917811424761,59.680636481437396,7,44.3829192305259,60.21592492898027,15.833005698454372,52.299422079753086,58.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
